prefix,public_prefix_mass,generated_prefix_mass,prefix_mass_abs_diff,prefix_l1_contribution,suffix_l1,suffix_kl,weighted_suffix_l1
823,0.0021255090621789155,0.0021243274257776016,1.1816364013138639e-06,1.1816364013137862e-06,1.3062467774105357e-15,1.3672086780973472e-16,2.7764393628280984e-18
826,0.002125509062178917,0.0021243274257776064,1.1816364013108281e-06,1.18163640131324e-06,1.6191746294441645e-15,1.1486692385502247e-16,3.4415703481337617e-18
979,0.002690351024411435,0.0026915086970851587,1.1576726737239085e-06,1.1576726737241287e-06,1.1084883011491797e-15,5.959285352767324e-17,2.982222636544787e-18
973,0.0026903510244114352,0.002691508697085153,1.157672673717837e-06,1.157672673718947e-06,1.3575397045644672e-15,0.0,3.652258334854212e-18
753,0.0012602457201196602,0.0012613742715192823,1.128551399622122e-06,1.128551399622503e-06,2.2912173460593044e-15,4.9252078265386655e-17,2.8874968542351646e-18
758,0.0012602457201196552,0.0012613742715192784,1.1285513996232063e-06,1.1285513996214995e-06,2.0087894563904085e-15,0.0,2.531568315037501e-18
167,0.0006186138035444177,0.0006175142061272514,1.099597417166258e-06,1.0995974171660323e-06,1.0433819606914252e-15,0.0,6.454504832529547e-19
341,0.0011823190639271954,0.0011812494729810299,1.0695909461655093e-06,1.069590946165933e-06,2.081776591389417e-15,9.649847651343006e-18,2.461324150837083e-18
347,0.0011823190639271958,0.0011812494729810297,1.0695909461661598e-06,1.0695909461652996e-06,1.940532153368868e-15,0.0,2.2943281590917058e-18
342,0.0011823190639271973,0.0011812494729810327,1.069590946164642e-06,1.069590946165166e-06,1.4596613848172346e-15,7.232267685629438e-17,1.7257854821477894e-18
346,0.001182319063927196,0.0011812494729810314,1.069590946164642e-06,1.06959094616421e-06,1.5729605118419698e-15,6.28294033485955e-17,1.8597411999554408e-18
349,0.001182319063927195,0.0011812494729810372,1.069590946157703e-06,1.0695909461590388e-06,1.956180240036444e-15,4.6254444517069973e-17,2.312829190272764e-18
739,0.00982508714880183,0.009826141364094206,1.0542152923762732e-06,1.0542152923721498e-06,1.2802259252708836e-15,4.579281243026752e-17,1.257833128594189e-17
384,0.004361504546273601,0.004360467884192219,1.0366620813821725e-06,1.0366620813677696e-06,1.910074542651498e-15,0.0,8.330798801495978e-18
387,0.004361504546273585,0.004360467884192221,1.036662081363958e-06,1.0366620813637072e-06,8.968520370800093e-16,1.5133397180902565e-16,3.911624237059186e-18
556,0.0065996143416399665,0.0066006461248646,1.0317832246338823e-06,1.031783224631534e-06,1.7279743174530848e-15,0.0,1.1403964087448912e-17
550,0.006599614341639966,0.006600646124864591,1.0317832246252087e-06,1.0317832246261303e-06,5.898059818321144e-16,0.0,3.892492016484263e-18
497,0.0029544993015780422,0.0029555243505553735,1.0250489773312894e-06,1.0250489773400524e-06,1.8988183218154354e-15,0.0,5.610057405627294e-18
498,0.002954499301578054,0.002955524350555382,1.0250489773282537e-06,1.0250489773287094e-06,1.5984934730040035e-15,4.008945794933226e-17,4.722747849567406e-18
883,0.0023665014022260923,0.002365537729540262,9.63672685830308e-07,9.63672685830383e-07,2.0104089833855587e-15,5.749502022818959e-17,4.757635678229858e-18
506,0.008944155978030518,0.008943213862520324,9.421155101937279e-07,9.421155101928317e-07,7.568815366121306e-16,0.0,6.769666520350313e-18
304,0.0018358092618536357,0.0018348751496804893,9.341121731463835e-07,9.341121731471743e-07,2.062084769431649e-15,6.184964340978859e-17,3.78559431844994e-18
308,0.0018358092618536292,0.001834875149680483,9.341121731461666e-07,9.341121731455536e-07,1.3563030364614759e-15,6.29395506920478e-17,2.489913676216178e-18
314,0.0018358092618536324,0.0018348751496804873,9.341121731450824e-07,9.341121731444702e-07,1.697474355088352e-15,3.26813020802344e-17,3.1162391428302182e-18
573,0.0015502441962456678,0.0015511566314222417,9.124351765738611e-07,9.124351765731038e-07,1.3843974252560065e-15,0.0,2.14615407380057e-18
579,0.00155024419624567,0.0015511566314222412,9.12435176571259e-07,9.124351765716215e-07,1.1345091532888318e-15,0.0,1.7587662304736008e-18
913,0.0005186492306419541,0.0005177748962382652,8.743344036889764e-07,8.743344036892936e-07,1.6044294798983616e-15,0.0,8.321361153685559e-19
614,0.0023648573450333475,0.002365710962339776,8.536173064285085e-07,8.536173064271965e-07,1.6958548280932018e-15,8.870910764214542e-18,4.010454746326473e-18
688,0.002364857345033342,0.002365710962339768,8.536173064259064e-07,8.536173064258539e-07,1.5742615544489524e-15,0.0,3.722904000042212e-18
649,0.002364857345033344,0.0023657109623397648,8.536173064207023e-07,8.536173064255407e-07,1.9365841328017157e-15,0.0,4.579745210731166e-18
613,0.0023648573450333514,0.0023657109623397778,8.536173064263401e-07,8.536173064248083e-07,1.6511043834238626e-15,1.0708936821249922e-16,3.904626328556684e-18
629,0.0023648573450333428,0.0023657109623397674,8.536173064246054e-07,8.536173064244222e-07,1.839281222985878e-15,9.926102703066153e-17,4.349637709760063e-18
608,0.0023648573450333428,0.002365710962339766,8.536173064233044e-07,8.53617306423999e-07,1.3228757282310322e-15,7.450310043488059e-17,3.1284123824734885e-18
619,0.002364857345033348,0.0023657109623397695,8.536173064215696e-07,8.5361730642364e-07,2.6482857790402492e-15,3.8782446152811944e-17,6.262818076310695e-18
755,0.0009451842900897386,0.0009460307036394544,8.464135497157242e-07,8.464135497155982e-07,9.488395312506892e-16,0.0,8.96828218754263e-19
207,0.003217082260708721,0.0032162567659286562,8.254947800648803e-07,8.25494780063773e-07,2.6369355375470416e-15,5.152590297429454e-17,8.483238540475003e-18
239,0.0032170822607087194,0.0032162567659286584,8.254947800609772e-07,8.254947800613066e-07,1.2351231148954867e-15,0.0,3.973492662721568e-18
226,0.0032170822607087094,0.0032162567659286506,8.254947800588087e-07,8.254947800604609e-07,1.6378872813149065e-15,0.0,5.2692181177586015e-18
238,0.0032170822607087163,0.003216256765928661,8.254947800553393e-07,8.254947800574101e-07,1.3177799780203503e-15,0.0,4.239406590806391e-18
221,0.0032170822607087176,0.0032162567659286645,8.254947800531709e-07,8.254947800561976e-07,1.2287263220778222e-15,0.0,3.952913654022428e-18
945,0.00029069238023867226,0.00028990125564624025,7.911245924320065e-07,7.911245924319505e-07,2.2028006588931115e-15,2.041706956374675e-16,6.403373667249542e-19
971,0.001793567349607623,0.0017943391313901059,7.717817824828225e-07,7.717817824837289e-07,1.3140598093160094e-15,0.0,2.3568547694208136e-18
972,0.0017935673496076252,0.0017943391313901078,7.717817824826056e-07,7.717817824825214e-07,2.5587171270657905e-15,6.098351351007272e-17,4.589231495987027e-18
263,0.0018794097742717418,0.0018801750313109634,7.65257039221515e-07,7.652570392211462e-07,1.3753951590925878e-15,0.0,2.584931105484647e-18
264,0.001879409774271749,0.0018801750313109627,7.652570392137088e-07,7.652570392137756e-07,1.8210937315424336e-15,0.0,3.4225813589258623e-18
268,0.0018794097742717455,0.001880175031310959,7.652570392134919e-07,7.652570392133293e-07,9.922618282587337e-16,0.0,1.864866578666216e-18
262,0.0018794097742717464,0.0018801750313109595,7.652570392130582e-07,7.652570392129998e-07,1.6475536213089725e-15,2.7944389055190146e-17,3.0964283795248944e-18
260,0.001879409774271746,0.0018801750313109588,7.652570392128414e-07,7.65257039212719e-07,1.2726365100634851e-15,5.829059612834073e-17,2.3918054961083973e-18
745,0.005405738841436859,0.005405002190153236,7.366512836228314e-07,7.366512836247172e-07,2.1939102010787304e-15,3.3696403059862163e-17,1.1859705588595842e-17
857,0.0008565903945596838,0.000855869122424632,7.21272135051766e-07,7.212721350517099e-07,1.5601025517026496e-15,7.426288365336995e-17,1.336368860316542e-18
856,0.0008565903945596822,0.0008558691224246325,7.21272135049706e-07,7.212721350499322e-07,1.6636743523611164e-15,2.668589348760216e-17,1.4250874699078324e-18
495,0.0019696662010520315,0.001970349567036919,6.833659848873817e-07,6.833659848875055e-07,1.3850140652416076e-15,0.0,2.728015392288068e-18
490,0.0019696662010520324,0.001970349567036919,6.833659848865144e-07,6.83365984886406e-07,1.609823385706477e-15,5.551115123125995e-17,3.170814712489197e-18
499,0.0019696662010520298,0.0019703495670369163,6.833659848865144e-07,6.833659848860426e-07,1.2320873488125272e-15,7.076231181174816e-17,2.4268008076998378e-18
399,0.00934051342498135,0.009339838832162193,6.745928191574657e-07,6.745928191530273e-07,1.2771901591879242e-15,1.0631633981488236e-16,1.1929611828148874e-17
395,0.009340513424981354,0.009339838832162198,6.74592819155731e-07,6.74592819149432e-07,1.3285813421637371e-15,7.44119318650694e-17,1.2409631862660132e-17
392,0.009340513424981321,0.009339838832162179,6.745928191418532e-07,6.745928191386514e-07,2.1831494945168117e-15,4.730644941518911e-17,2.0391737162275465e-17
297,0.008797108543726152,0.008797751470046597,6.42926320444312e-07,6.429263204471478e-07,1.8679549823163305e-15,5.840274112279279e-17,1.6432602734230826e-17
044,0.003747836323292089,0.0037472006286466,6.356946454888317e-07,6.356946454901696e-07,2.0492827134668476e-15,1.2002044512035286e-17,7.680376190225625e-18
045,0.0037478363232920984,0.0037472006286466096,6.356946454888317e-07,6.356946454875776e-07,2.2359094827353876e-15,4.027921330972864e-17,8.379822774988933e-18
522,0.0022222166949857607,0.0022228505427046314,6.338477188706781e-07,6.338477188709276e-07,1.3348968198184652e-15,0.0,2.966429999083992e-18
526,0.0022222166949857577,0.0022228505427046292,6.338477188715455e-07,6.338477188695804e-07,1.6094642437368412e-15,0.0,3.576578312414635e-18
527,0.0022222166949857603,0.0022228505427046297,6.338477188693771e-07,6.338477188691137e-07,1.8545549210907675e-15,0.0,4.121222907415903e-18
524,0.0022222166949857607,0.0022228505427046297,6.338477188689434e-07,6.338477188689485e-07,1.171372027153339e-15,2.898008630455264e-17,2.6030424747794636e-18
521,0.002222216694985761,0.0022228505427046305,6.338477188693771e-07,6.338477188673352e-07,1.280876446574375e-15,0.0,2.8463850237916132e-18
523,0.0022222166949857603,0.002222850542704628,6.338477188676424e-07,6.338477188671638e-07,1.3053794156725473e-15,8.647515065198593e-17,2.9008359307982912e-18
528,0.002222216694985761,0.0022228505427046297,6.338477188685097e-07,6.33847718866776e-07,1.316546698049148e-15,0.0,2.9256520521331946e-18
529,0.0022222166949857646,0.002222850542704629,6.338477188641729e-07,6.338477188656291e-07,1.819426770702237e-15,1.281865843415738e-16,4.043160545158548e-18
963,0.0009857604304224531,0.000985138756359516,6.216740629371061e-07,6.216740629361981e-07,1.3676973236679407e-15,0.0,1.3482219024665465e-18
571,0.0010334961308304444,0.0010341044209481612,6.082901177167747e-07,6.082901177166117e-07,1.3032110113275763e-15,0.0,1.3468635378626805e-18
572,0.0010334961308304455,0.001034104420948161,6.082901177154737e-07,6.082901177152192e-07,2.5203363701598036e-15,5.4124332851013115e-17,2.6047578869514066e-18
820,0.0010627545310894584,0.0010621637128888008,5.908182006575825e-07,5.908182006576485e-07,2.5550308396793397e-15,6.398461710964703e-17,2.715370601942522e-18
813,0.003185735407508628,0.003186324151351402,5.887438427739852e-07,5.887438427743079e-07,1.6005127995502577e-15,3.543773207644069e-17,5.098810295698015e-18
919,0.00034576615376130226,0.0003451832641588432,5.828896024590827e-07,5.828896024593166e-07,2.629535857719828e-15,5.824144132290376e-17,9.092044997012119e-19
914,0.00034576615376130307,0.00034518326415884426,5.828896024588116e-07,5.828896024591863e-07,1.7060192234602534e-15,1.0475421893576058e-18,5.898837051386968e-19
754,0.0006301228600598277,0.000630687135759639,5.642756998112779e-07,5.642756998110954e-07,2.2322316656784094e-15,1.236162055340051e-16,1.4065802014933926e-18
750,0.0006301228600598275,0.0006306871357596383,5.642756998108442e-07,5.642756998108357e-07,6.522560269672795e-16,3.2653618371327845e-17,4.1100143320388213e-19
759,0.0006301228600598277,0.0006306871357596381,5.642756998104105e-07,5.642756998107735e-07,1.565120374882184e-15,1.2447771804899399e-16,9.862181269586715e-19
752,0.0006301228600598273,0.0006306871357596369,5.642756998096516e-07,5.642756998091786e-07,1.6403335124665769e-15,0.0,1.0336116443274218e-18
