gram,public_r_prob
3927457,0.0003434012288596075
3927453,0.0003434012288596074
9015819,0.0003424571831858414
9015814,0.00034245718318584014
3738777,0.00033850219165153245
3738778,0.0003385021916515318
4075067,0.00033322499604146217
2581045,0.0003331313052426292
2581044,0.00033313130524262894
1044654,0.00033271705633473316
9984078,0.0003326476877535628
9984113,0.00033264768775356226
9984110,0.0003326476877535622
9984198,0.00033264768775356193
9984197,0.00033264768775356193
9984075,0.0003326476877535617
2673877,0.0003316605484008962
8465452,0.0003269244031558805
8419845,0.00032692440315587953
8472545,0.0003269244031558795
8465455,0.0003269244031558787
8465457,0.00032692440315587785
8465453,0.00032692440315587774
6540782,0.0003242775002096735
6542678,0.00032427750020967336
6542679,0.0003242775002096726
6540785,0.00032427750020967233
6549274,0.0003242775002096721
6542654,0.00032427750020967195
6542673,0.0003242775002096714
6792545,0.00031714240429452545
9739984,0.0003165118852248755
2399845,0.00031540022163811056
2979274,0.00031418244799021977
2608678,0.0003132349623786254
2608679,0.0003132349623786245
2608673,0.00031323496237862353
5819845,0.00031245080934303024
8146545,0.00031232700073613944
7395258,0.0003119075285333924
7395254,0.000311907528533392
7395297,0.000311907528533392
7395282,0.00031190752853339185
7395212,0.0003119075285333918
7395242,0.00031190752853339163
7395274,0.00031190752853339136
5395258,0.0003109150267619429
5395254,0.0003109150267619424
5395297,0.0003109150267619424
5395282,0.0003109150267619423
5395212,0.00031091502676194226
5395242,0.00031091502676194215
5395274,0.0003109150267619418
4738777,0.0003087231580972377
4738778,0.00030872315809723713
6785506,0.0003080811927432543
4539525,0.0003074513802615137
9274110,0.0003067809166373246
9274113,0.0003067809166373245
9274078,0.0003067809166373244
9254725,0.0003067809166373244
9274198,0.0003067809166373243
9274197,0.00030678091663732424
9258465,0.0003067809166373241
9258426,0.0003067809166373237
9274075,0.00030678091663732343
1584654,0.00030658629696205295
2212426,0.00030638878673416414
2584539,0.0003061868614362413
2584556,0.00030618686143624115
2584550,0.000306186861436241
2584532,0.00030618686143623887
4654984,0.000305884059786631
6546541,0.00030520235313851547
6546542,0.0003052023531385154
6546547,0.00030520235313851536
6546546,0.0003052023531385153
6546549,0.00030520235313851466
4262978,0.000304073349686681
6545567,0.00030401015644656676
4654578,0.00030345640851848235
4556782,0.0003026474524449277
4556297,0.00030264745244492687
4556883,0.00030264745244492676
4556785,0.00030264745244492654
4556792,0.0003026474524449264
4556790,0.0003026474524449264
5426782,0.0003016578142426116
5426785,0.0003016578142426106
5426790,0.0003016578142426104
5426792,0.0003016578142426104
5426297,0.00030165781424260996
5426883,0.00030165781424260985
4265426,0.00030049601616095504
4267399,0.000300496016160955
4267395,0.00030049601616095493
4265465,0.0003004960161609549
4267392,0.0003004960161609539
4267373,0.0003004960161609538
9849274,0.000296637169406871
9840782,0.0002966371694068708
9842678,0.00029663716940687035
9840785,0.0002966371694068697
9842679,0.00029663716940686965
9842654,0.000296637169406869
9842673,0.00029663716940686856
7254725,0.00029476440398478983
7258465,0.00029476440398478945
7258426,0.0002947644039847892
4927426,0.00028965679427235774
4927465,0.0002896567942723575
7384654,0.0002889731514353483
7373877,0.00028897315143534765
5452426,0.0002872931564215342
8506782,0.0002855301315198957
8539274,0.00028553013151989533
8506785,0.0002855301315198946
8506792,0.0002855301315198945
8506790,0.00028553013151989446
2426739,0.00028397532931236124
5067825,0.00028394145962001757
5067853,0.0002839414596200171
5067858,0.0002839414596200165
5465472,0.00028391323693422214
5465411,0.00028391323693422176
5465407,0.0002839132369342215
5465419,0.0002839132369342215
5473998,0.00028391323693422143
5473952,0.00028391323693422127
5465473,0.0002839132369342209
7824261,0.00028350820523980505
3925813,0.00028021540274943905
4725819,0.0002799089966748298
4725814,0.0002799089966748288
9846541,0.0002791879241476425
9846542,0.0002791879241476425
9846547,0.00027918792414764244
9846546,0.00027918792414764233
9846549,0.0002791879241476418
8834654,0.00027841192967365767
6883426,0.00027821851118039326
6883465,0.0002782185111803929
9845567,0.00027809734631894096
8426782,0.00027788574268249847
8426785,0.0002778857426824975
8426792,0.0002778857426824974
8426790,0.0002778857426824974
8426297,0.000277885742682497
8426883,0.0002778857426824969
5242678,0.0002777770868732209
5242679,0.0002777770868732203
5238777,0.00027777708687322004
5242654,0.00027777708687321966
5238778,0.0002777770868732195
5242673,0.0002777770868732193
1104539,0.00027645673210615793
1104556,0.0002764567321061577
1104550,0.00027645673210615755
1104532,0.00027645673210615577
2619845,0.00027638379033408155
3998492,0.0002747209830876874
3927411,0.0002747209830876863
3927472,0.0002747209830876862
3927419,0.0002747209830876861
