rgram,public_prob,generated_prob,signed_diff,abs_diff
3400423,0.0011133002095699113,0.0011129097335668848,3.904760030265606e-07,3.904760030265606e-07
0142321,0.00014136713406090467,0.0001409824547506938,3.846793102108676e-07,3.846793102108676e-07
2322141,0.0022721449475543807,0.002272528273337291,-3.8332578291026473e-07,3.8332578291026473e-07
1323221,0.0021537537685117417,0.0021533708634259865,3.829050857552009e-07,3.829050857552009e-07
3422134,0.0010853466600190924,0.0010849659883709068,3.8067164818554773e-07,3.8067164818554773e-07
1421421,0.001629903114990629,0.0016302826676347537,-3.7955264412469457e-07,3.7955264412469457e-07
4132132,0.0007373373220724206,0.0007369588705936994,3.7845147872125895e-07,3.7845147872125895e-07
3420413,0.0010759909939253105,0.0010756136036589757,3.7739026633484656e-07,3.7739026633484656e-07
2142042,0.00111968508105349,0.0011200615578461244,-3.7647679263451937e-07,3.7647679263451937e-07
2321413,0.0022246811674502087,0.0022250564857815326,-3.753183313239157e-07,3.753183313239157e-07
2413422,0.0009461711804102347,0.0009457964012111881,3.747791990465739e-07,3.747791990465739e-07
3421422,0.0010666714017470633,0.0010662972802101087,3.741215369545796e-07,3.741215369545796e-07
